mz,rt,mode
325.18,10.5,Negative
325.18,9.9,Negative
325.27,7.3,Negative
326.1,0.5,Negative
326.19,10.5,Negative
326.19,9.9,Negative
326.27,7.7,Negative
326.89,9.3,Negative
327.18,9.9,Negative
327.27,7.7,Negative
327.89,9.3,Negative
328.03,0.4,Negative
328.25,6.7,Negative
328.28,7.7,Negative
328.94,3.2,Negative
328.91,12.1,Negative
329.23,5,Negative
330.14,0.4,Negative
330.2,2.7,Negative
330.83,12.2,Negative
331.25,5,Negative
331.27,8.3,Negative
331.9,2.3,Negative
332.13,0.4,Negative
332.25,5,Negative
332.84,12.2,Negative
333.13,6.9,Negative
333.18,5.1,Negative
333.28,8.7,Negative
333.9,12,Negative
334.14,6.9,Negative
335.11,6.8,Negative
335.19,5.3,Negative
335.18,10.6,Negative
336.18,10.6,Negative
336.12,0.4,Negative
337.21,11.4,Negative
338.2,6.3,Negative
338.21,11.4,Negative
338.27,7.7,Negative
338.94,9.6,Negative
339.2,11.3,Negative
340.19,2.9,Negative
340.2,11.2,Negative
340.28,7.7,Negative
340.94,12.1,Negative
340.94,9.6,Negative
341.2,11.2,Negative
341.21,7.8,Negative
341.27,8.9,Negative
341.94,9.6,Negative
341.93,12.1,Negative
342.06,0.4,Negative
342.26,7.2,Negative
342.22,6.4,Negative
343.14,3.2,Negative
343.26,7.2,Negative
343.29,4.9,Negative
344.02,0.4,Negative
344.19,10.1,Negative
345.19,10.1,Negative
345.96,3.5,Negative
346.12,0.4,Negative
346.2,10.1,Negative
347.18,10.1,Negative
347.2,8.1,Negative
347.26,7.2,Negative
348.12,0.4,Negative
348.26,7.2,Negative
349.21,10.8,Negative
349.23,8.4,Negative
350.01,3.6,Negative
350.11,6.9,Negative
350.21,10.8,Negative
350.27,7.5,Negative
350.86,0.1,Negative
351.18,5.4,Negative
351.13,10.1,Negative
352.29,8,Negative
352.85,0.1,Negative
352.85,12.8,Negative
353.12,7.8,Negative
353.2,9.5,Negative
354.2,9.5,Negative
354.3,8.1,Negative
355.02,3.2,Negative
355.2,9.5,Negative
355.21,8.3,Negative
356.03,3.2,Negative
356.2,9.5,Negative
356.25,6.4,Negative
356.28,7.4,Negative
356.85,0.2,Negative
356.94,3.2,Negative
357.28,7.4,Negative
357.26,5.3,Negative
357.93,3.2,Negative
358.14,0.4,Negative
359.16,0.4,Negative
359.87,12.8,Negative
359.92,3,Negative
360.11,0.4,Negative
361.17,10.1,Negative
361.91,1.1,Negative
362.18,10.1,Negative
362.94,12,Negative
362.94,9.4,Negative
363.17,10.1,Negative
363.22,6,Negative
364.22,6,Negative
365.09,6.8,Negative
365.23,12.2,Negative
365.88,12.8,Negative
366.1,6.8,Negative
366.3,7.9,Negative
366.24,12.2,Negative
366.9,12.8,Negative
367.15,8.1,Negative
367.13,6.9,Negative
367.21,10.9,Negative
368.07,0.4,Negative
368.31,8.3,Negative
368.21,10.9,Negative
368.97,11.9,Negative
369.25,8.4,Negative
370.04,0.5,Negative
370.16,2.4,Negative
370.18,8.5,Negative
370.26,7.2,Negative
371.29,7.3,Negative
372.18,0.4,Negative
372.21,2.7,Negative
373.14,0.4,Negative
374.05,0.4,Negative
374.19,3,Negative
374.27,7.6,Negative
374.23,5.2,Negative
374.91,12,Negative
375.18,4.7,Negative
375.18,5.5,Negative
375.13,7.6,Negative
376.18,4.8,Negative
376.19,5.5,Negative
376.13,0.4,Negative
376.9,12,Negative
377.16,8,Negative
377.26,5,Negative
378.18,8,Negative
378.16,10.1,Negative
378.78,12.8,Negative
378.89,0.4,Negative
379.18,11.4,Negative
379.16,7.9,Negative
380.19,11.4,Negative
380.29,8.2,Negative
380.23,7.5,Negative
381.18,8.4,Negative
381.23,11.7,Negative
382.27,8.5,Negative
382.23,11.7,Negative
383.19,9,Negative
383.29,7,Negative
383.22,11.7,Negative
383.35,9.8,Negative
384.07,0.4,Negative
384.02,3,Negative
384.19,9,Negative
384.28,7.2,Negative
384.38,9.8,Negative
384.94,11.9,Negative
385.17,9,Negative
385.29,7.2,Negative
385.95,11.9,Negative
386.02,2,Negative
386.12,0.4,Negative
386.95,0.3,Negative
386.91,12,Negative
387.29,5,Negative
387.98,0.3,Negative
388.19,3.5,Negative
388.2,11.4,Negative
388.29,5,Negative
388.29,7.9,Negative
388.92,0.3,Negative
389.2,11.9,Negative
389.17,7.9,Negative
389.22,11.4,Negative
389.3,5,Negative
389.95,0.3,Negative
390.2,11.9,Negative
390.22,11.4,Negative
390.28,6.8,Negative
391.11,10.1,Negative
393.1,10.1,Negative
394.11,10.1,Negative
394.26,7.7,Negative
394.33,8.4,Negative
395.1,10.1,Negative
395.78,12.9,Negative
395.79,0.2,Negative
396.11,10.1,Negative
