ID,log2FC,FDR,label
ENSMUSG00000006649,4.04E-01,7.56E-01,
ENSMUSG00000006651,-9.34E-01,4.22E-01,
ENSMUSG00000006675,-1.25E-01,9.53E-01,
ENSMUSG00000006676,-6.73E-01,4.84E-01,
ENSMUSG00000006740,-3.29E-02,8.77E-01,
ENSMUSG00000006782,4.46E-01,7.08E-01,
ENSMUSG00000006784,-2.99E-01,1.75E-01,
ENSMUSG00000006906,2.50E-01,2.08E-01,
ENSMUSG00000006920,6.90E-01,3.07E-05,
ENSMUSG00000006958,2.98E-01,3.15E-01,
ENSMUSG00000007021,-8.09E-01,4.91E-01,
ENSMUSG00000007029,6.51E-01,1.58E-02,
ENSMUSG00000007030,7.78E-01,1.45E-01,
ENSMUSG00000007034,-7.64E-01,5.21E-01,
ENSMUSG00000007035,-4.99E-01,1.01E-02,
ENSMUSG00000007038,-2.31E-01,6.20E-01,
ENSMUSG00000007050,-2.39E-01,4.47E-01,
ENSMUSG00000007216,8.48E-01,5.55E-06,
ENSMUSG00000007379,2.02E-01,3.85E-01,
ENSMUSG00000007411,-9.39E-02,9.02E-01,
ENSMUSG00000007415,1.71E-01,3.95E-01,
ENSMUSG00000007476,-8.97E-01,4.09E-02,
ENSMUSG00000007594,-6.70E-01,7.10E-01,
ENSMUSG00000007613,5.86E-01,2.83E-04,
ENSMUSG00000007617,-9.49E-01,2.07E-01,
ENSMUSG00000007655,-3.10E+00,2.48E-14,
ENSMUSG00000007659,-4.77E-01,8.47E-01,
ENSMUSG00000007670,4.61E-01,3.10E-02,
ENSMUSG00000007812,4.76E-01,4.62E-02,
ENSMUSG00000007815,-5.24E-01,1.20E-01,
ENSMUSG00000007817,8.48E-01,1.16E-24,
ENSMUSG00000007850,5.34E-01,6.77E-01,
ENSMUSG00000007872,5.53E-01,1.59E-03,
ENSMUSG00000007880,-1.80E-01,5.52E-01,
ENSMUSG00000008153,-1.28E-01,9.48E-01,
ENSMUSG00000008307,-2.97E-01,7.87E-01,
ENSMUSG00000008318,1.89E-01,5.53E-01,
ENSMUSG00000008373,2.10E-01,8.28E-01,
ENSMUSG00000008393,1.15E+00,7.58E-02,
