ID,log2FC,FDR,label
ENSMUSG00000026017,1.32E+00,8.90E-02,
ENSMUSG00000026031,-3.70E-01,8.54E-04,
ENSMUSG00000026034,-5.95E-01,6.84E-01,
ENSMUSG00000026072,-3.96E-01,7.61E-01,
ENSMUSG00000026074,1.05E+00,4.98E-01,
ENSMUSG00000026097,1.16E+00,9.46E-11,
ENSMUSG00000026103,1.16E+00,6.65E-06,
ENSMUSG00000026104,2.99E-02,9.59E-01,
ENSMUSG00000026107,-3.14E+00,1.07E-02,
ENSMUSG00000026110,-8.47E-01,4.84E-01,
ENSMUSG00000026113,-1.20E+00,1.91E-07,
ENSMUSG00000026127,1.89E+00,3.97E-09,
ENSMUSG00000026131,-1.58E-02,9.64E-01,
ENSMUSG00000026159,-4.90E-01,6.54E-01,
ENSMUSG00000026163,1.12E-01,9.19E-01,
ENSMUSG00000026173,3.23E-01,7.39E-01,
ENSMUSG00000026174,3.95E-02,9.52E-01,
ENSMUSG00000026176,-3.83E-02,9.52E-01,
ENSMUSG00000026179,5.16E-01,2.54E-01,
ENSMUSG00000026192,8.48E-01,3.24E-02,
ENSMUSG00000026197,-6.11E-01,2.66E-01,
ENSMUSG00000026199,-3.58E-01,6.99E-01,
ENSMUSG00000026200,-8.02E-01,1.47E-06,
ENSMUSG00000026201,-1.12E+00,3.79E-01,
ENSMUSG00000026202,-6.46E-01,7.43E-03,
ENSMUSG00000026203,-1.36E+00,7.03E-16,
ENSMUSG00000026207,1.60E+00,1.48E-02,
ENSMUSG00000026211,-2.52E+00,6.50E-03,
ENSMUSG00000026219,6.92E-01,4.00E-01,
ENSMUSG00000026222,-1.33E-01,8.88E-01,
ENSMUSG00000026240,2.28E-01,5.95E-01,
ENSMUSG00000026249,-1.51E+00,1.24E-01,
ENSMUSG00000026255,-2.21E-01,5.82E-01,
ENSMUSG00000026271,1.69E-01,6.15E-01,
ENSMUSG00000026275,1.50E+00,1.05E-01,
ENSMUSG00000026276,3.96E-01,1.61E-02,
ENSMUSG00000026280,-7.91E-01,5.63E-01,
ENSMUSG00000026288,-9.85E-01,3.47E-01,
ENSMUSG00000026289,-1.06E-01,5.99E-01,
ENSMUSG00000026308,-8.03E-02,8.94E-01,
ENSMUSG00000026309,1.88E+00,1.05E-03,
ENSMUSG00000026313,-3.10E-01,3.19E-01,
ENSMUSG00000026319,-2.78E-01,4.52E-01,
ENSMUSG00000026321,8.59E-01,1.75E-01,
ENSMUSG00000026335,-4.13E+00,2.25E-02,
ENSMUSG00000026354,-4.71E-01,8.47E-01,
ENSMUSG00000026380,-1.92E-01,2.97E-01,
ENSMUSG00000026383,-7.18E-01,2.55E-01,
ENSMUSG00000026414,1.72E+00,3.41E-13,
ENSMUSG00000026425,2.08E-01,8.47E-01,
ENSMUSG00000026432,1.50E+00,1.33E-02,
ENSMUSG00000026436,1.47E+00,9.50E-06,
ENSMUSG00000026442,6.99E-01,1.92E-01,
ENSMUSG00000026447,1.06E+00,4.55E-01,
ENSMUSG00000026455,1.46E-01,8.95E-01,
ENSMUSG00000026457,-5.41E-01,5.66E-01,
ENSMUSG00000026463,-4.14E-01,5.61E-01,
ENSMUSG00000026466,-1.35E+00,2.77E-01,
ENSMUSG00000026469,-6.24E-01,4.93E-01,
ENSMUSG00000026491,8.26E-02,8.73E-01,
ENSMUSG00000026509,-1.34E+00,4.99E-01,
ENSMUSG00000026510,-3.91E-01,6.12E-04,
ENSMUSG00000026514,-2.20E-01,7.35E-01,
ENSMUSG00000026520,4.52E-02,9.78E-01,
ENSMUSG00000026536,-6.53E-01,7.19E-02,
ENSMUSG00000026553,-1.65E+00,3.24E-02,
ENSMUSG00000026556,4.55E-02,9.73E-01,
ENSMUSG00000026565,-2.86E-01,6.57E-01,
ENSMUSG00000026571,-2.61E-01,6.25E-01,
ENSMUSG00000026576,8.95E-02,8.82E-01,
ENSMUSG00000026580,-4.50E-01,6.07E-01,
ENSMUSG00000026594,3.76E-01,2.56E-02,
ENSMUSG00000026596,1.52E-01,8.95E-01,
ENSMUSG00000026627,2.18E+00,3.99E-03,
ENSMUSG00000026643,3.06E-01,1.29E-01,
ENSMUSG00000026646,-2.94E-01,4.41E-01,
ENSMUSG00000026648,5.21E-02,8.46E-01,
ENSMUSG00000026655,1.80E+00,4.70E-58,
ENSMUSG00000026656,3.61E-01,8.72E-01,
ENSMUSG00000026700,-1.63E+00,2.09E-02,
ENSMUSG00000026701,-1.69E+00,2.69E-02,
ENSMUSG00000026705,-1.78E+00,2.62E-05,
ENSMUSG00000026708,-1.58E+00,1.16E-01,
ENSMUSG00000026718,5.31E-01,8.83E-04,
ENSMUSG00000026721,9.70E-01,4.64E-01,
ENSMUSG00000026727,-1.08E+00,5.43E-01,
ENSMUSG00000026728,-3.08E-01,4.04E-01,
ENSMUSG00000026737,6.77E-01,4.99E-01,
ENSMUSG00000026740,-5.85E-02,8.04E-01,
ENSMUSG00000026743,1.39E-01,6.34E-01,
ENSMUSG00000026748,-3.65E-01,8.44E-01,
ENSMUSG00000026773,-2.08E+00,1.43E-11,
ENSMUSG00000026779,8.96E-02,9.58E-01,
ENSMUSG00000026781,-3.68E-01,5.88E-01,
ENSMUSG00000026782,5.07E-01,1.31E-02,
ENSMUSG00000026786,4.31E-01,8.02E-01,
ENSMUSG00000026790,-1.68E+00,1.17E-14,
ENSMUSG00000026792,-1.70E+00,3.15E-01,
ENSMUSG00000026797,-7.09E-01,1.89E-01,
ENSMUSG00000026812,-2.18E-01,7.68E-01,
ENSMUSG00000026814,2.28E-01,6.95E-01,
ENSMUSG00000026815,1.95E+00,2.17E-02,
ENSMUSG00000026816,2.04E-02,9.79E-01,
ENSMUSG00000026819,4.56E-01,1.05E-01,
ENSMUSG00000026820,-6.80E-01,5.05E-01,
ENSMUSG00000026842,-2.31E-01,7.85E-01,
ENSMUSG00000026843,-1.93E+00,9.44E-02,
ENSMUSG00000026854,-1.70E+00,2.98E-03,
ENSMUSG00000026858,2.62E+00,9.95E-09,
ENSMUSG00000026867,8.30E-01,7.63E-02,
ENSMUSG00000026872,-5.25E-01,4.46E-05,
ENSMUSG00000026873,-8.52E-01,5.56E-01,
ENSMUSG00000026875,-1.80E-01,9.08E-01,
ENSMUSG00000026915,3.70E-01,5.15E-01,
ENSMUSG00000026917,1.43E+00,2.08E-01,
ENSMUSG00000026921,-7.99E-01,4.67E-01,
ENSMUSG00000026923,2.52E-01,2.32E-01,
ENSMUSG00000026930,-4.85E-01,7.09E-01,
ENSMUSG00000026932,1.05E+00,4.30E-01,
ENSMUSG00000026955,-1.12E-01,8.90E-01,
ENSMUSG00000026956,2.87E-01,7.02E-01,
ENSMUSG00000026958,-2.66E-02,9.51E-01,
ENSMUSG00000026959,-2.29E-01,1.74E-01,
ENSMUSG00000026960,-1.80E+00,7.81E-03,
ENSMUSG00000026977,1.01E-01,9.53E-01,
ENSMUSG00000027012,1.23E-01,8.17E-01,
ENSMUSG00000027018,-4.35E-01,6.98E-01,
ENSMUSG00000027035,-9.22E-01,5.82E-01,
ENSMUSG00000027075,1.18E-01,8.89E-01,
ENSMUSG00000027078,-1.75E+00,3.07E-01,
ENSMUSG00000027171,5.81E-01,2.43E-01,
ENSMUSG00000027176,-1.39E-01,7.74E-01,
ENSMUSG00000027184,-5.79E+00,4.64E-03,
ENSMUSG00000027196,-3.81E-01,1.89E-01,
ENSMUSG00000027203,1.72E-01,9.00E-01,
ENSMUSG00000027206,7.78E-01,2.71E-07,
ENSMUSG00000027207,1.94E-01,7.99E-01,
ENSMUSG00000027223,-5.45E+00,1.42E-03,
ENSMUSG00000027254,-2.13E-01,3.81E-01,
ENSMUSG00000027257,-2.52E-01,8.27E-01,
ENSMUSG00000027263,2.03E-01,5.23E-01,
ENSMUSG00000027281,-2.19E+00,2.20E-02,
ENSMUSG00000027284,9.97E-01,2.42E-01,
ENSMUSG00000027288,4.45E-01,6.48E-01,
ENSMUSG00000027291,4.25E-01,2.42E-01,
ENSMUSG00000027300,-7.62E-01,5.40E-01,
ENSMUSG00000027309,3.41E-02,9.69E-01,
ENSMUSG00000027312,-1.33E+00,6.65E-02,
ENSMUSG00000027316,-1.31E-01,8.73E-01,
ENSMUSG00000027326,1.10E+00,1.78E-01,
ENSMUSG00000027330,-1.49E+00,4.04E-04,
ENSMUSG00000027332,1.37E+00,1.06E-01,
ENSMUSG00000027341,-1.76E-01,8.64E-01,
ENSMUSG00000027360,-2.64E+00,4.09E-08,
ENSMUSG00000027365,-5.09E-01,5.85E-01,
ENSMUSG00000027366,2.02E-01,1.96E-01,
ENSMUSG00000027367,1.59E-01,5.26E-01,
ENSMUSG00000027387,-2.86E-01,8.90E-01,
ENSMUSG00000027395,7.20E-01,2.22E-01,
ENSMUSG00000027427,-7.93E-01,3.07E-01,
ENSMUSG00000027469,-1.20E+00,1.81E-01,
ENSMUSG00000027475,-2.96E-01,8.86E-01,
ENSMUSG00000027490,-8.67E-01,5.84E-01,
ENSMUSG00000027506,-3.98E-01,6.39E-01,
ENSMUSG00000027508,-9.49E-01,6.96E-01,
ENSMUSG00000027513,-8.22E-01,4.99E-01,
ENSMUSG00000027546,6.43E-01,1.18E-01,
ENSMUSG00000027552,-5.87E+00,1.79E-03,
ENSMUSG00000027577,-3.84E-01,6.92E-01,
ENSMUSG00000027584,3.54E-01,6.04E-01,
ENSMUSG00000027593,-6.90E-01,4.40E-01,
ENSMUSG00000027605,-7.87E-01,1.60E-01,
ENSMUSG00000027610,-1.48E-01,6.62E-01,
ENSMUSG00000027612,-1.13E-01,9.20E-01,
ENSMUSG00000027615,-1.29E-01,8.95E-01,
ENSMUSG00000027620,-1.00E+00,3.12E-01,
ENSMUSG00000027624,1.83E+00,2.21E-01,
ENSMUSG00000027628,8.75E-01,1.20E-03,
ENSMUSG00000027641,-2.27E-01,6.23E-01,
ENSMUSG00000027663,-8.12E-01,3.96E-01,
ENSMUSG00000027665,-1.66E-01,4.06E-01,
ENSMUSG00000027695,-6.45E-01,5.82E-01,
ENSMUSG00000027737,-2.09E+00,1.87E-08,
ENSMUSG00000027763,-1.62E-01,8.62E-01,
ENSMUSG00000027778,-4.26E-01,4.68E-01,
ENSMUSG00000027794,1.04E+00,8.63E-03,
ENSMUSG00000027804,-1.58E-01,8.53E-01,
ENSMUSG00000027808,-8.35E-01,5.50E-01,
ENSMUSG00000027809,-8.63E-01,4.18E-01,
ENSMUSG00000027811,-7.57E-01,7.23E-01,
ENSMUSG00000027831,4.43E-01,6.29E-01,
ENSMUSG00000027834,-4.02E-01,4.15E-01,
ENSMUSG00000027840,-2.42E+00,1.06E-02,
ENSMUSG00000027878,-5.77E-01,5.62E-01,
ENSMUSG00000027881,-2.65E-01,5.78E-01,
ENSMUSG00000027887,-7.08E-02,9.58E-01,
ENSMUSG00000027889,5.60E-01,8.06E-02,
ENSMUSG00000027900,1.23E+00,6.92E-03,
ENSMUSG00000027931,-5.44E-02,8.79E-01,
ENSMUSG00000027939,-1.53E-01,8.00E-01,
ENSMUSG00000027940,4.83E-01,2.54E-01,
ENSMUSG00000027947,-4.89E-02,8.79E-01,
ENSMUSG00000027954,-5.24E-01,5.09E-01,
ENSMUSG00000027962,1.56E-01,8.37E-01,
ENSMUSG00000027977,-7.27E-01,5.87E-01,
ENSMUSG00000028016,-1.01E+00,5.53E-01,
ENSMUSG00000028041,1.86E+00,1.81E-04,
ENSMUSG00000028049,1.33E+00,3.75E-01,
ENSMUSG00000028051,-7.05E-01,6.31E-01,
ENSMUSG00000028053,-6.23E-01,7.43E-04,
ENSMUSG00000028057,6.50E-01,6.76E-02,
ENSMUSG00000028060,-2.60E-01,8.07E-01,
ENSMUSG00000028064,4.46E-01,7.37E-01,
ENSMUSG00000028073,-2.11E+00,4.26E-01,
ENSMUSG00000028096,-2.05E-01,8.39E-01,
ENSMUSG00000028106,6.00E-01,9.13E-02,
ENSMUSG00000028107,-3.17E-01,4.25E-01,
ENSMUSG00000028188,8.94E-01,2.11E-02,
ENSMUSG00000028189,3.55E-02,9.80E-01,
ENSMUSG00000028207,1.17E+00,8.06E-40,
ENSMUSG00000028211,6.16E-01,1.38E-05,
ENSMUSG00000028212,3.78E-01,3.93E-01,
ENSMUSG00000028214,-2.00E+00,1.38E-05,
ENSMUSG00000028218,4.63E+00,3.12E-29,
ENSMUSG00000028221,5.48E-01,1.44E-04,
ENSMUSG00000028223,1.34E+00,8.42E-20,
ENSMUSG00000028224,1.10E+00,7.05E-14,
ENSMUSG00000028228,-1.54E-01,1.91E-01,
ENSMUSG00000028229,8.79E-01,1.53E-05,
ENSMUSG00000028232,8.07E-01,2.21E-12,
ENSMUSG00000028233,8.25E-01,3.30E-13,
ENSMUSG00000028234,1.18E+00,2.77E-16,
ENSMUSG00000028238,3.00E+00,2.70E-169,
ENSMUSG00000028243,-3.94E-01,4.41E-02,
ENSMUSG00000028245,3.01E-01,7.17E-02,
ENSMUSG00000028247,-1.40E-01,5.60E-01,
ENSMUSG00000028248,5.93E-01,1.09E-04,
ENSMUSG00000028249,5.03E-01,4.82E-09,
ENSMUSG00000028251,5.06E-01,3.04E-04,
ENSMUSG00000028252,2.61E-02,9.14E-01,
ENSMUSG00000028261,3.61E-01,2.99E-02,
ENSMUSG00000028274,-6.75E-02,7.53E-01,
ENSMUSG00000028277,1.37E-01,4.92E-01,
ENSMUSG00000028278,2.69E+00,6.89E-52,
ENSMUSG00000028282,-2.13E-01,3.29E-01,
ENSMUSG00000028284,-7.07E-02,7.09E-01,
ENSMUSG00000028289,3.66E-01,8.44E-01,
ENSMUSG00000028291,3.81E-01,2.28E-03,
ENSMUSG00000028292,6.62E-01,1.93E-05,
ENSMUSG00000028293,-4.27E-02,8.66E-01,
ENSMUSG00000028295,6.98E-01,3.10E-02,
ENSMUSG00000028300,5.90E-01,3.91E-09,
ENSMUSG00000028309,3.53E-02,8.46E-01,
ENSMUSG00000028312,6.20E-01,1.59E-03,
ENSMUSG00000028318,-8.94E-01,3.04E-04,
ENSMUSG00000028322,1.89E-01,4.41E-01,
ENSMUSG00000028327,-8.80E-02,7.03E-01,
ENSMUSG00000028328,2.74E+00,1.68E-11,
ENSMUSG00000028329,5.80E-01,5.42E-03,
ENSMUSG00000028330,-2.05E-01,1.93E-01,
ENSMUSG00000028331,1.99E-01,6.66E-01,
ENSMUSG00000028333,8.84E-01,6.23E-10,
ENSMUSG00000028334,6.58E-01,6.75E-07,
ENSMUSG00000028337,3.71E-01,1.32E-03,
ENSMUSG00000028339,3.79E+00,3.42E-14,
ENSMUSG00000028343,2.07E-01,1.71E-01,
ENSMUSG00000028344,1.65E-01,3.74E-01,
ENSMUSG00000028345,-3.76E-01,2.02E-02,
ENSMUSG00000028347,-1.23E+00,1.24E-04,
ENSMUSG00000028348,-5.52E+00,1.25E-02,
ENSMUSG00000028367,-2.22E-02,9.31E-01,
ENSMUSG00000028378,-7.74E-01,5.14E-14,
ENSMUSG00000028381,2.14E-01,1.53E-01,
ENSMUSG00000028382,-1.44E-01,5.11E-01,
ENSMUSG00000028383,-1.61E-02,9.53E-01,
ENSMUSG00000028385,3.49E-01,1.15E-03,
ENSMUSG00000028391,-1.19E+00,8.14E-02,
ENSMUSG00000028405,4.44E-01,7.93E-06,
ENSMUSG00000028407,7.20E-01,9.96E-02,
ENSMUSG00000028409,1.78E-01,1.65E-01,
ENSMUSG00000028410,-4.25E-01,9.33E-04,
ENSMUSG00000028411,6.21E-01,5.38E-05,
ENSMUSG00000028412,-7.39E-01,5.09E-07,
ENSMUSG00000028413,5.16E-01,1.19E-08,
ENSMUSG00000028414,-1.44E-01,5.57E-01,
ENSMUSG00000028416,-6.01E-02,6.62E-01,
ENSMUSG00000028417,-4.78E+00,2.64E-88,
ENSMUSG00000028419,1.06E-01,4.29E-01,
ENSMUSG00000028420,-1.47E+00,2.07E-56,
ENSMUSG00000028423,4.00E-01,1.66E-04,
ENSMUSG00000028426,4.90E-01,1.21E-06,
ENSMUSG00000028430,2.51E-01,4.75E-02,
ENSMUSG00000028431,3.06E-01,2.31E-02,
ENSMUSG00000028433,3.29E-01,3.27E-03,
ENSMUSG00000028436,3.73E-01,1.11E-03,
ENSMUSG00000028437,-5.25E-01,1.47E-07,
ENSMUSG00000028438,1.16E+00,1.37E-02,
ENSMUSG00000028439,1.49E+00,3.15E-21,
ENSMUSG00000028443,1.37E+00,4.99E-17,
ENSMUSG00000028445,1.04E+00,3.13E-01,
ENSMUSG00000028447,3.68E-01,3.35E-02,
ENSMUSG00000028452,2.64E-01,8.48E-03,
ENSMUSG00000028453,5.45E-01,1.51E-02,
ENSMUSG00000028454,-1.69E-01,5.00E-01,
ENSMUSG00000028455,7.31E-01,2.71E-05,
ENSMUSG00000028456,6.19E-01,3.30E-01,
ENSMUSG00000028458,-1.36E-01,4.22E-01,
ENSMUSG00000028459,-7.01E-01,9.32E-06,
ENSMUSG00000028461,1.89E-01,3.52E-01,
ENSMUSG00000028463,1.86E+00,6.61E-14,
ENSMUSG00000028464,1.39E+00,1.45E-07,
ENSMUSG00000028465,-1.56E-01,1.36E-01,
ENSMUSG00000028466,-1.64E-01,3.51E-01,
ENSMUSG00000028467,-2.23E-01,2.25E-01,
ENSMUSG00000028468,4.23E-01,4.04E-04,
ENSMUSG00000028470,3.31E-01,4.08E-01,
ENSMUSG00000028476,-5.30E-01,6.15E-01,
ENSMUSG00000028478,7.79E-01,1.25E-11,
ENSMUSG00000028479,1.16E+00,1.94E-11,
ENSMUSG00000028480,-2.05E+00,3.33E-18,
ENSMUSG00000028494,3.98E-01,5.62E-01,
ENSMUSG00000028495,-1.51E+00,3.25E-02,
ENSMUSG00000028553,-7.76E-02,9.18E-01,
ENSMUSG00000028559,-4.14E-01,6.15E-01,
ENSMUSG00000028567,-1.84E-01,9.29E-01,
ENSMUSG00000028600,5.79E-01,5.43E-01,
ENSMUSG00000028634,-3.25E-01,8.50E-01,
ENSMUSG00000028636,8.60E-01,9.43E-03,
ENSMUSG00000028637,-1.61E-01,7.33E-01,
ENSMUSG00000028639,-1.54E+00,4.99E-17,
ENSMUSG00000028649,-8.82E-02,7.44E-01,
ENSMUSG00000028677,-6.81E-01,1.05E-01,
ENSMUSG00000028698,3.64E-01,1.98E-01,
ENSMUSG00000028707,1.59E-02,9.60E-01,
ENSMUSG00000028737,4.13E-01,9.90E-03,
ENSMUSG00000028738,-2.72E-01,9.02E-01,
ENSMUSG00000028780,-1.13E-01,5.62E-01,
ENSMUSG00000028784,6.82E-01,3.39E-01,
ENSMUSG00000028788,3.62E-01,2.91E-01,
ENSMUSG00000028790,2.83E-01,2.57E-02,
ENSMUSG00000028795,-4.69E-01,9.46E-02,
ENSMUSG00000028796,6.76E-01,4.47E-01,
ENSMUSG00000028797,-5.48E+00,5.74E-03,
ENSMUSG00000028803,-1.16E+00,8.58E-11,
ENSMUSG00000028826,1.86E-01,7.87E-01,
ENSMUSG00000028836,1.01E+00,4.30E-01,
ENSMUSG00000028840,6.42E-02,8.49E-01,
ENSMUSG00000028842,1.81E-01,3.07E-01,
ENSMUSG00000028847,1.27E-02,9.90E-01,
ENSMUSG00000028854,7.44E-01,1.16E-04,
ENSMUSG00000028874,2.58E-01,4.39E-01,
ENSMUSG00000028876,-5.61E-01,5.10E-01,
ENSMUSG00000028879,8.74E-01,7.54E-13,
ENSMUSG00000028890,-7.26E-01,1.45E-02,
ENSMUSG00000028901,3.35E-01,6.24E-01,
ENSMUSG00000028914,-2.13E+00,1.63E-04,
ENSMUSG00000028919,7.27E-01,3.79E-01,
ENSMUSG00000028926,-1.91E+00,1.06E-01,
ENSMUSG00000028940,-2.25E+00,6.77E-02,
ENSMUSG00000028943,-7.82E-01,6.04E-01,
ENSMUSG00000028944,2.08E-01,9.42E-01,
ENSMUSG00000028961,2.22E-01,7.37E-01,
ENSMUSG00000028970,-1.60E+00,2.47E-03,
ENSMUSG00000028977,1.77E-01,8.91E-01,
ENSMUSG00000028978,-3.47E-01,2.91E-01,
ENSMUSG00000028980,8.67E-01,2.98E-03,
ENSMUSG00000028988,1.72E-01,3.50E-01,
ENSMUSG00000029004,-2.15E-01,4.86E-01,
ENSMUSG00000029009,-7.17E-01,6.50E-01,
ENSMUSG00000029012,-1.72E+00,1.49E-36,
ENSMUSG00000029022,4.22E-01,2.59E-01,
ENSMUSG00000029033,1.97E-01,6.58E-01,
ENSMUSG00000029047,-2.12E-01,3.32E-01,
ENSMUSG00000029055,2.14E-01,7.39E-01,
ENSMUSG00000029064,3.21E-01,7.63E-01,
ENSMUSG00000029068,8.19E-02,9.57E-01,
ENSMUSG00000029072,-1.85E-01,7.33E-01,
ENSMUSG00000029073,-8.11E-01,5.09E-01,
ENSMUSG00000029074,1.06E+00,3.46E-02,
ENSMUSG00000029097,3.25E-01,8.55E-01,
ENSMUSG00000029127,-4.65E-02,9.71E-01,
ENSMUSG00000029138,3.80E-01,7.53E-01,
ENSMUSG00000029151,-8.09E-01,3.38E-01,
ENSMUSG00000029163,1.31E+00,3.24E-02,
ENSMUSG00000029165,-3.35E-01,7.52E-01,
ENSMUSG00000029168,1.28E-01,4.68E-01,
ENSMUSG00000029173,-3.73E-01,6.07E-01,
ENSMUSG00000029177,-1.29E-01,9.53E-01,
ENSMUSG00000029178,-1.28E-01,9.02E-01,
ENSMUSG00000029191,-6.23E-01,5.29E-01,
ENSMUSG00000029192,-1.29E+00,2.32E-01,
ENSMUSG00000029195,-9.51E-01,4.43E-01,
ENSMUSG00000029201,5.23E-01,6.83E-01,
ENSMUSG00000029202,1.18E+00,2.44E-01,
ENSMUSG00000029204,-2.16E-01,7.30E-01,
ENSMUSG00000029212,-4.36E-01,2.97E-01,
ENSMUSG00000029286,6.02E-01,5.59E-05,
ENSMUSG00000029291,-2.15E+00,1.86E-01,
ENSMUSG00000029299,-2.39E+00,8.81E-04,
ENSMUSG00000029313,-1.23E+00,7.58E-02,
ENSMUSG00000029321,-9.83E-02,9.28E-01,
ENSMUSG00000029338,-1.42E+00,3.80E-06,
ENSMUSG00000029361,-4.18E-01,6.48E-01,
ENSMUSG00000029370,-6.95E+00,1.72E-97,
ENSMUSG00000029379,1.60E-01,8.98E-01,
ENSMUSG00000029387,-1.06E+00,3.10E-01,
ENSMUSG00000029394,-4.01E-01,8.17E-01,
ENSMUSG00000029403,-1.44E+00,1.29E-01,
ENSMUSG00000029405,4.06E-01,3.82E-03,
ENSMUSG00000029413,-1.55E+00,2.45E-01,
ENSMUSG00000029438,-1.65E-01,4.28E-01,
ENSMUSG00000029442,-6.80E-01,2.10E-01,
ENSMUSG00000029449,8.46E-01,1.23E-04,
ENSMUSG00000029456,9.15E-01,4.90E-01,
ENSMUSG00000029458,4.63E-01,3.20E-01,
ENSMUSG00000029462,2.80E-02,9.69E-01,
ENSMUSG00000029468,1.55E-01,7.61E-01,
ENSMUSG00000029469,-3.83E-01,7.91E-01,
ENSMUSG00000029470,-5.35E-01,5.62E-01,
ENSMUSG00000029471,4.15E-01,3.46E-02,
ENSMUSG00000029475,-9.83E-02,8.08E-01,
ENSMUSG00000029478,-1.12E+00,4.98E-01,
ENSMUSG00000029490,-1.56E-01,8.64E-01,
ENSMUSG00000029491,2.11E-01,8.28E-01,
ENSMUSG00000029502,1.25E+00,8.22E-03,
ENSMUSG00000029504,-4.89E-01,7.63E-01,
ENSMUSG00000029505,1.59E+00,2.30E-03,
ENSMUSG00000029524,5.20E-01,5.42E-01,
ENSMUSG00000029534,1.23E+00,7.06E-06,
ENSMUSG00000029544,-1.17E+00,4.84E-01,
ENSMUSG00000029545,5.24E-01,7.50E-01,
ENSMUSG00000029550,-1.71E+00,3.24E-02,
ENSMUSG00000029552,-7.49E-01,2.70E-07,
ENSMUSG00000029553,2.12E-01,5.42E-01,
ENSMUSG00000029559,-3.81E-01,7.61E-01,
ENSMUSG00000029561,-8.21E-01,5.62E-01,
ENSMUSG00000029569,3.83E-01,1.05E-03,
ENSMUSG00000029571,-5.15E-01,7.12E-04,
ENSMUSG00000029576,3.93E-01,6.91E-01,
ENSMUSG00000029578,-2.88E-01,8.61E-01,
ENSMUSG00000029598,1.67E-01,8.76E-01,
ENSMUSG00000029599,-1.53E+00,2.70E-07,
ENSMUSG00000029600,-1.13E+00,2.54E-03,
ENSMUSG00000029601,-7.85E-01,3.24E-02,
ENSMUSG00000029603,-1.41E+00,2.39E-05,
ENSMUSG00000029616,1.57E+00,2.44E-17,
ENSMUSG00000029625,-1.06E+00,9.19E-03,
ENSMUSG00000029627,-1.45E+00,2.08E-01,
ENSMUSG00000029629,2.46E-01,4.92E-01,
ENSMUSG00000029635,1.97E-01,8.75E-01,
ENSMUSG00000029638,-1.49E+00,4.82E-02,
ENSMUSG00000029642,-7.19E-01,5.50E-01,
ENSMUSG00000029647,-7.48E-01,2.10E-01,
ENSMUSG00000029648,-5.63E-01,7.15E-01,
ENSMUSG00000029651,1.58E+00,2.58E-03,
ENSMUSG00000029655,8.52E-01,2.50E-07,
ENSMUSG00000029661,2.14E+00,5.71E-34,
ENSMUSG00000029664,-4.86E+00,2.32E-05,
ENSMUSG00000029670,7.40E-02,8.56E-01,
ENSMUSG00000029672,8.62E-01,3.21E-13,
ENSMUSG00000029676,-1.96E-01,6.35E-01,
ENSMUSG00000029681,1.27E-01,9.13E-01,
ENSMUSG00000029684,2.24E-01,2.42E-01,
ENSMUSG00000029701,2.92E-01,2.89E-01,
ENSMUSG00000029703,-1.98E+00,8.10E-06,
ENSMUSG00000029705,-1.49E+00,3.30E-02,
ENSMUSG00000029708,3.19E-01,2.19E-02,
ENSMUSG00000029713,3.75E-01,2.12E-01,
ENSMUSG00000029714,2.14E-01,5.41E-01,
ENSMUSG00000029720,7.82E-01,3.43E-02,
ENSMUSG00000029722,-3.22E-02,9.83E-01,
ENSMUSG00000029723,3.50E-02,8.59E-01,
ENSMUSG00000029726,-4.44E-01,1.05E-01,
ENSMUSG00000029729,8.80E-02,7.26E-01,
ENSMUSG00000029730,4.01E-01,6.37E-01,
ENSMUSG00000029752,2.21E+00,2.01E-75,
ENSMUSG00000029759,-1.46E+00,1.57E-27,
ENSMUSG00000029767,-1.94E-02,9.27E-01,
ENSMUSG00000029771,-4.87E-01,8.52E-05,
ENSMUSG00000029772,2.19E-01,6.81E-02,
ENSMUSG00000029775,5.88E-02,7.68E-01,
ENSMUSG00000029782,-1.42E-01,5.62E-01,
ENSMUSG00000029787,4.34E-01,3.04E-01,
ENSMUSG00000029790,1.17E+00,1.90E-05,
ENSMUSG00000029798,-1.31E+00,9.12E-02,
ENSMUSG00000029804,-7.96E-01,6.22E-01,
ENSMUSG00000029814,8.51E-01,5.42E-07,
ENSMUSG00000029815,9.95E-01,2.36E-13,
ENSMUSG00000029816,1.61E+00,5.00E-13,
ENSMUSG00000029823,4.29E-01,7.53E-01,
ENSMUSG00000029826,-2.40E-01,8.11E-01,
ENSMUSG00000029836,-4.93E-01,7.66E-01,
ENSMUSG00000029843,-4.18E-01,8.05E-01,
ENSMUSG00000029875,-1.07E+00,3.38E-01,
ENSMUSG00000029920,2.17E-01,8.76E-01,
ENSMUSG00000029922,-4.37E-01,8.23E-01,
ENSMUSG00000029924,1.75E-02,9.91E-01,
ENSMUSG00000029925,-5.45E-01,5.41E-01,
ENSMUSG00000029992,-3.96E-01,6.15E-01,
ENSMUSG00000029993,-8.57E-02,8.44E-01,
ENSMUSG00000030002,-5.48E-01,6.68E-01,
ENSMUSG00000030007,4.91E-01,5.13E-01,
ENSMUSG00000030045,-3.83E-01,8.70E-01,
ENSMUSG00000030051,7.46E-01,2.75E-01,
ENSMUSG00000030055,2.22E+00,2.32E-02,
ENSMUSG00000030056,7.44E-01,6.91E-11,
ENSMUSG00000030059,2.11E-01,8.27E-01,
ENSMUSG00000030060,-8.13E-02,8.73E-01,
